,Symbol,Company,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares
83,CGEM,"Cullinan Oncology, Inc.",GADICKE ANSBERT,Director,"Aug 25, 2021",$29.09,237,6894,266283
84,CGEM,"Cullinan Oncology, Inc.",GADICKE ANSBERT,Director,"Aug 23, 2021",$29.11,7376,214715,273545
85,CGEM,"Cullinan Oncology, Inc.",GADICKE ANSBERT,Director,"Aug 24, 2021",$29.48,50882,1500001,7807196
86,MRAM,EVERSPIN TECHNOLOGIES INC,Aggarwal Sanjeev,"CTO & VP, Technology R&D","Aug 24, 2021",$5.85,200,1170,45927
87,DVAX,DYNAVAX TECHNOLOGIES CORP,Novack David F,President & COO,"Aug 24, 2021",$14.00,10000,140000,104066
88,COUR,"Coursera, Inc.",Wong Chun Yu,See Remarks,"Aug 23, 2021",$36.01,57000,2052578,594372
89,KNBE,"KnowBe4, Inc.",Venkataraman Shrikrishna,Co-President & CFO,"Aug 24, 2021",$22.53,21960,494695,275413
90,KNBE,"KnowBe4, Inc.",Venkataraman Shrikrishna,Co-President & CFO,"Aug 23, 2021",$22.19,18287,405752,296424
91,KNBE,"KnowBe4, Inc.",Venkataraman Shrikrishna,Co-President & CFO,"Aug 25, 2021",$22.79,52699,1201216,221765
92,KNBE,"KnowBe4, Inc.",Sjouwerman Sjoerd,Chief Executive Officer,"Aug 23, 2021",$22.19,18207,404090,0
93,KNBE,"KnowBe4, Inc.",Sjouwerman Sjoerd,Chief Executive Officer,"Aug 24, 2021",$22.56,11793,266064,100
94,CSCO,"CISCO SYSTEMS, INC.",Robbins Charles,Chair and CEO,"Aug 25, 2021",$59.69,6543,390572,587380
95,DVAX,DYNAVAX TECHNOLOGIES CORP,Burgess Justin,Principal Accounting Officer,"Aug 24, 2021",$15.00,5768,86520,3721
96,KNBE,"KnowBe4, Inc.",Letonoff Lars,See remarks,"Aug 25, 2021",$22.77,22183,505074,0
97,KNBE,"KnowBe4, Inc.",Letonoff Lars,See remarks,"Aug 24, 2021",$22.53,21823,491618,3427
98,KNBE,"KnowBe4, Inc.",Letonoff Lars,See remarks,"Aug 23, 2021",$22.18,18267,405213,0
99,CSCO,"CISCO SYSTEMS, INC.",Martinez Maria,EVP & Chief Operating Officer,"Aug 23, 2021",$58.52,4000,234063,248881
100,CSCO,"CISCO SYSTEMS, INC.",Martinez Maria,EVP & Chief Operating Officer,"Aug 24, 2021",$59.01,44000,2596541,204881
